# P CFF_tot CFF_2 CFF_6 CFF_10
0.0016011128 4.533438688673867e-08 1.542157157530255e-08 0.00020097772357985377 2.592572172943619e-06
0.0008785046 5.3778073963260724e-08 1.8294239012561775e-08 0.00023867942218203098 3.076019083891879e-06
0.00077846757 6.379442709622128e-08 2.1701941577134676e-08 0.0002834393235389143 3.6496028315013973e-06
0.0006837007 7.567636080301774e-08 2.5744304466002177e-08 0.0003365730226505548 4.3301233745296486e-06
0.00059430685 8.977134594767357e-08 3.0539489159764344e-08 0.00039963904418982565 5.137509560881881e-06
0.00051409524 1.0649157104995887e-07 3.622763244948146e-08 0.00047448260011151433 6.09540029472555e-06
0.0004462523 1.2632599617364125e-07 4.297494626825937e-08 0.000563287059776485 7.231837116705719e-06
0.00039231157 1.4985465189330582e-07 5.097853872371161e-08 0.000668634136673063 8.580077519582119e-06
0.00035218676 1.7776560149342834e-07 6.04721677177622e-08 0.0007935734465718269 1.017956583382329e-05
0.0003248357 2.10875062435963e-07 7.173299110263542e-08 0.0009417040273547173 1.2077078281436116e-05
0.00030902395 2.501512755211823e-07 8.508965976261607e-08 0.0011172675294801593 1.4328084944281727e-05
0.000303826 2.9674281976265915e-07 1.0093180691228554e-07 0.001325255841948092 1.699835411272943e-05
0.00030879266 3.520122010060973e-07 1.1972130664616998e-07 0.0015715323388576508 2.0165851310594007e-05
0.0003238773 4.1757569654512543e-07 1.4200564635302726e-07 0.0018629698315635324 2.3922999389469624e-05
0.0003623686 4.953506209352283e-07 1.6846594519392966e-07 0.0022214953787624836 2.840976776496973e-05
0.00041544126 5.876113952297511e-07 1.9985107257980417e-07 0.002647792687639594 3.3737214835127816e-05
0.00048433305 6.970560593059276e-07 2.3707474383627414e-07 0.0031539180781692266 4.006195376859978e-05
0.00057026854 8.26885172342737e-07 2.8121962714067195e-07 0.0037540229968726635 4.756999260280281e-05
0.0006745151 9.808954087869066e-07 3.3356778317283897e-07 0.004464434925466776 5.648173828376457e-05
0.0007982547 1.1635905868927917e-06 3.956367322643928e-07 0.005303845275193453 6.705826672259718e-05
0.0009421357 1.3803133767135892e-06 4.692219022217614e-07 0.006293443031609058 7.960865332279354e-05
0.0011056429 1.6374015391635453e-06 5.564465368479432e-07 0.007456951774656773 9.449855861021206e-05
0.0012864433 1.942373265148371e-06 6.598195909646165e-07 0.00882050208747387 0.00011216029088245705
0.0015216392 2.3041470347526725e-06 7.824963859093259e-07 0.010477081872522831 0.00013328205386642367
0.0017973697 2.7333024259649645e-06 9.28025940538646e-07 0.012470101937651634 0.0001585157442605123
