# P CFF_tot CFF_2 CFF_6 CFF_10
9.105305e-12 4.555203652040741e-08 0. 3.892972938157809e-18 0.
1.1548904e-11 5.4033647454398166e-08 0. 5.351098384235153e-18 0.
1.4586806e-11 6.409450115184612e-08 0. 7.371191726917241e-18 0.
1.8355607e-11 7.602864643500237e-08 0. 1.0172860733440472e-17 0.
2.302217e-11 9.01848828660726e-08 0. 1.4062091920097397e-17 0.
2.8790142e-11 1.0697695512073184e-07 0. 1.9465268768518276e-17 0.
3.5907905e-11 1.2689564551409218e-07 0. 2.6976690770320407e-17 0.
4.467813e-11 1.5052311810768222e-07 0. 3.742476772844707e-17 0.
5.5469417e-11 1.7854993363301106e-07 0. 5.1964392670532557e-17 0.
6.8730334e-11 2.1179523252731228e-07 0. 7.220568093071746e-17 0.
8.500642e-11 2.5123067597155856e-07 0. 1.0039356098680128e-16 0.
1.0496075e-10 2.9800884465606164e-07 0. 1.396581173639092e-16 0.
1.2939878e-10 3.5349692528508985e-07 0. 1.9436368732276898e-16 0.
1.5957344e-10 4.1931666937681495e-07 0. 2.7059550114024334e-16 0.
2.0936464e-10 4.97391792235431e-07 0. 3.768383143187582e-16 0.
2.721651e-10 5.900041974263891e-07 0. 5.249219875230141e-16 0.
3.5109304e-10 6.998606700288868e-07 0. 7.313398404228285e-16 0.
4.4997672e-10 8.301719879109706e-07 0. 1.01908651466533e-15 0.
5.735107e-10 9.847467632144645e-07 0. 1.4202181309580356e-15 0.
7.2744566e-10 1.168102756757146e-06 0. 1.979421553559681e-15 0.
9.1881897e-10 1.385598918740982e-06 0. 2.7589879030487027e-15 0.
1.1562342e-09 1.643592014923506e-06 0. 3.845739644705443e-15 0.
1.4501998e-09 1.9496224159693475e-06 0. 5.360684752407597e-15 0.
1.8553852e-09 2.3126344800519475e-06 0. 7.47246536837113e-15 0.
2.3943731e-09 2.7432379698332473e-06 0. 1.0382688463053246e-14 0.
3.0856835e-09 3.254018144261949e-06 0. 1.4286879310349866e-14 0.
